No,word,POST,Meaning,Amharic,"["""
3018,mercurial,adj,"rapidly shifting, whimsical",ተለዋዋጭ,
3019,meretricious,adj,Alluring by false or gaudy show,አታላይ,
3020,mesmerize,v,To hypnotize,ማስተኛት,
3021,messieurs,n,pl Gentlemen,ጌቶች,
3022,metal,n,"An element that forms a base by combining with oxygen, is usually hard, heavy, and lustrous",ብረት,
3023,metallurgy,n,"The art or science of extracting a metal from ores, as by smelting",የብረት ሥራ,
3024,metamorphosis,n,A passing from one form or shape into another,ለውጥ,
3025,metaphor,n,"A figure of speech in which one object is likened to another, by speaking as if the other",ምሳሌ,
3026,metaphysical,adj,Philosophical,ፍልስፍናዊ,
3027,metaphysician,n,One skilled in metaphysics,ፈላስፋ,
3028,metaphysics,n,The principles of philosophy as applied to explain the methods of any particular science,ሜታፊዚክስ,
3029,mete,v,To apportion,መለካት,
3030,metempsychosis,n,"Transition of the soul of a human being at death into another body, whether human or beast",የነፍስ ሽግግር,
3031,meticulous,adj,"Over-cautious,,paying very close attention to detail",ጥንቃቄ,
3032,metonymy,n,A figure of speech that consists in the naming of a thing by one of its attributes,ሜቶኒሚ,
3033,metric,adj,Relating to measurement,የመለኪያ,
3034,metronome,n,An instrument for indicating and marking exact time in music,ሜትሮኖም,
3035,metropolis,n,"A chief city, either the capital or the largest or most important city of a state",ዋና ከተማ,
3036,metropolitan,adj,Pertaining to a chief city,የዋና ከተማ,
3037,mettle,n,Courage,ጥንካሬ,
3038,mettlesome,adj,Having courage or spirit,ጀግና,
3039,microcosm,n,The world or universe on a small scale,ጥቃቅን ዓለም,
3040,micrometer,n,An instrument for measuring very small angles or dimensions,ማይክሮሜትር,
3041,microphone,n,An apparatus for magnifying faint sounds,ማይክሮፎን,
3042,microscope,n,An instrument for assisting the eye in the vision of minute objects or features of objects,ማይክሮስኮፕ,
3043,microscopic,adj,Adapted to or characterized by minute observation,ጥቃቅን,
3044,microscopy,n,The art of examing objects with the microscope,ማይክሮስኮፕ ጥናት,
3045,midsummer,n,The middle of the summer,የበጋ መሃል,
3046,midwife,n,A woman who makes a business of assisting at childbirth,አዋላጅ,
3047,mien,n,The external appearance or manner of a person,መልክ,
3048,migrant,adj,Wandering,ስደተኛ,
3049,migrate,v,"To remove or pass from one country, region, or habitat to another",መሰደድ,
3050,migratory,adj,Wandering,ስደተኛ,
3051,mileage,n,A distance in miles,ማይል,
3052,militant,adj,Of a warlike or combative disposition or tendency,ጦረኛ,
3053,militarism,n,A policy of maintaining great standing armies,ወታደራዊነት,
3054,militate,v,To have weight or influence (in determining a question),መቃወም,
3055,militia,n,"Those citizens, collectively, who are enrolled and drilled in temporary military organizations",ሚሊሻ,
3056,Milky Way,n,The galaxy,ፍኖተ ሐሊብ,
3057,millet,n,A grass cultivated for forage and cereal,ድንጅር,
3058,mimic,v,To imitate the speech or actions of,መምሰል,
3059,miniature,adj,Much smaller than reality or that the normal size,ጥቃቅን,
3060,minimize,v,To reduce to the smallest possible amount or degree,ማቃለል,
3061,minion,n,A servile favorite,ተወዳጅ,
3062,ministration,n,Any religious ceremonial,አገልግሎት,
3063,ministry,n,A service,አገልግሎት,
3064,minority,n,The smaller in number of two portions into which a number or a group is divided,አናሳ,
3065,minute,adj,Exceedingly small in extent or quantity,ጥቃቅን,
3066,minutia,n,A small or unimportant particular or detail,ትንሽ,
3067,mirage,n,An optical effect looking like a sheet of water in the desert,ምራቅ,
3068,misadventure,n,An unlucky accident,አደጋ,
3069,misanthrope,n,"one who hates people, or humanity, in general",ሰው ጠላ,
3070,misanthropic,adj,Hating mankind,ሰው ጠላ,
3071,misanthropy,n,Hatred of mankind,ሰው ጠላነት,
3072,misapprehend,v,To misunderstand,ማሳሳት,
3073,misbehave,v,To behave ill,መጥፎ ባህሪ,
3074,misbehavior,n,Ill or improper behavior,መጥፎ ባህሪ,
3075,mischievous,adj,Fond of tricks,ተንኮለኛ,
3076,miscount,v,To make a mistake in counting,መቁጠር,
3077,miscreant,n,A villain,ክፉ,
3078,misdeed,n,A wrong or improper act,በደል,
3079,misdemeanor,n,"Evil conduct, small crime",ጥፋት,
3080,miser,n,"A person given to saving and hoarding unduly,,a person who is extremely stingy or cheap",ቆጣቢ,
3081,mishap,n,Misfortune,አደጋ,
3082,misinterpret,v,To misunderstand,ማሳሳት,
3083,mislay,v,To misplace,ማጣት,
3084,mismanage,v,"To manage badly, improperly, or unskillfully",ማበላሸት,
3085,misnomer,n,A name wrongly or mistakenly applied,የተሳሳተ ስም,
3086,misogamy,n,Hatred of marriage,ጋብቻ ጥላ,
3087,misogyny,n,Hatred of women,ሴት ጥላ,
3088,misplace,v,To put into a wrong place,ማስቀመጥ,
3089,misrepresent,v,To give a wrong impression,ማዛባት,
3090,misrule,v,To misgovern,ማበላሸት,
3091,missal,n,The book containing the service for the celebration of mass,የቅዳሴ መጽሐፍ,
3092,missile,n,"Any object, especially a weapon, thrown or intended to be thrown",ሚሳኤል,
3093,missive,n,A message in writing,መልእክት,
3094,mistrust,v,To regard with suspicion or jealousy,አለመተማመን,
3095,misty,adj,Lacking clearness,ጭጋጋማ,
3096,misunderstand,v,To Take in a wrong sense,ማሳሳት,
3097,misuse,v,To maltreat,ማበላሸት,
3098,mite,n,"A very small amount, portion, or particle",ትንሽ,
3099,miter,n,The junction of two bodies at an equally divided angle,ማይተር,
3100,mitigate,v,"To make milder or more endurable,,to lessen or moderate the severity of something",ማቅለል,
3101,mnemonic,adj,pertaining to memory,የማስታወሻ,
3102,mnemonics,n,A system of principles and formulas designed to assist the recollection in certain instances,የማስታወሻ,
3103,moat,n,A ditch on the outside of a fortress wall,ጉድጓድ,
3104,mobocracy,n,Lawless control of public affairs by the mob or populace,የሕዝብ አገዛዝ,
3105,moccasin,n,A foot-covering made of soft leather or buckskin,ሞካሲን,
3106,mockery,n,Ridicule,ፌዝ,
3107,moderation,n,Temperance,መጠነኛነት,
3108,moderator,n,The presiding officer of a meeting,አስተባባሪ,
3109,modernity,n,The state or character of being modern,ዘመናዊነት,
3110,modernize,v,To make characteristic of the present or of recent times,ማዘመን,
3111,modification,n,A change,ማሻሻያ,
3112,modify,v,To make somewhat different,ማሻሻል,
3113,modish,adj,Fashionable,ፋሽን,
3114,modulate,v,"To vary in tone, inflection, pitch or other quality of sound",ማስተካከል,
3115,mollify,v,"To soothe,,to soothe, soften, pacify",ማስታገስ,
3116,molt,v,"To cast off, as hair, feathers, etc",ማውለቅ,
3117,momentary,adj,Lasting but a short time,አጭር,
3118,momentous,adj,Very significant,አስፈላጊ,
3119,momentum,n,An impetus,ፍጥነት,
3120,monarchy,n,"Government by a single, sovereign ruler",ንጉሣዊ አገዛዝ,
3121,monastery,n,A dwelling-place occupied in common by persons under religious vows of seclusion,ገዳም,
3122,monetary,adj,Financial,የገንዘብ,
3123,mongrel,n,The progeny resulting from the crossing of different breeds or varieties,ድቅል,
3124,monition,n,Friendly counsel given by way of warning and implying caution or reproof,ማስጠንቀቂያ,
3125,monitory,n,Admonition or warning,ማስጠንቀቂያ,
3126,monocracy,n,Government by a single person,የአንድ ሰው አገዛዝ,
3127,monogamy,n,"The habit of pairing, or having but one mate",አንድ ሚስት/ባል,
3128,monogram,n,"A character consisting of two or more letters interwoven into one, usually initials of a name",ሞኖግራም,
3129,monograph,n,A treatise discussing a single subject or branch of a subject,ሞኖግራፍ,
3130,monolith,n,Any structure or sculpture in stone formed of a single piece,ሞኖሊት,
3131,monologue,n,A story or drama told or performed by one person,ሞኖሎግ,
3132,monomania,n,The unreasonable pursuit of one idea,የአንድ ሀሳብ ሱሰኝነት,
3133,monopoly,n,"The control of a thing, as a commodity, to enable a person to raise its price",ሞኖፖሊ,
3134,monosyllable,n,A word of one syllable,አንድ ፊደል,
3135,monotone,n,The sameness or monotony of utterance,አንድ ዓይነት ድምጽ,
3136,monotonous,adj,Unchanging and tedious,አንድ ዓይነት,
3137,monotony,n,A lack of variety,አንድ ዓይነትነት,
3138,monsieur,n,"A French title of respect, equivalent to Mr and sir",ሞንሲዬር,
3139,monstrosity,n,Anything unnaturally huge or distorted,ግዙፍ,
3140,moonbeam,n,A ray of moonlight,የጨረቃ ብርሃን,
3141,morale,n,"A state of mind with reference to confidence, courage, zeal, and the like",ሞራል,
3142,moralist,n,A writer on ethics,ሥነ-ምግባር ባለሙያ,
3143,morality,n,Virtue,ሥነ-ምግባር,
3144,moralize,v,To render virtuous,ማስተማር,
3145,moratorium,n,An emergency legislation authorizing a government suspend some action temporarily,ማራቶሪየም,
3146,morbid,adj,"Caused by or denoting a diseased or unsound condition of body or mind,,pertaining to death",የበሽታ,
3147,mordacious,adj,Biting or giving to biting,ነካሽ,
3148,mordant,adj,Biting,ነካሽ,
3149,moribund,adj,On the point of dying,የሚሞት,
3150,morose,adj,"Gloomy,,sad, gloomy",ጨለማ,
3151,morphology,n,the science of organic forms,ሞርፎሎጂ,
3152,motley,adj,Composed of heterogeneous or inharmonious elements,የተለያየ,
3153,motto,n,"An expressive word or pithy sentence enunciating some guiding rule of life, or faith",መፀው,
3154,mountaineer,n,One who travels among or climbs mountains for pleasure or exercise,ተራራ አውጪ,
3155,mountainous,adj,Full of or abounding in mountains,ተራራማ,
3156,mouthful,n,As much as can be or is usually put into the or exercise,አንድ ንክሻ,
3157,muddle,v,"To confuse or becloud, especially with or as with drink",ማደናገር,
3158,muffle,v,"To deaden the sound of, as by wraps",ማደናገር,
3159,mulatto,n,The offspring of a white person and a black person,ሙላቶ,
3160,muleteer,n,A mule-driver,በቅሎ ሾፌር,
3161,multiform,adj,"Having many shapes, or appearances",ብዙ ቅርጽ,
3162,multiplicity,n,the condition of being manifold or very various,ብዙነት,
3163,mundane,adj,"Worldly, as opposed to spiritual or celestial,,dull, boring, commonplace, extremely ordinary",ዓለማዊ,
3164,municipal,adj,"Of or pertaining to a town or city, or to its corporate or local government",የከተማ,
3165,municipality,n,A district enjoying municipal government,ማዘጋጃ ቤት,
3166,munificence,n,A giving characterized by generous motives and extraordinary liberality,ልግስና,
3167,munificent,adj,Extraordinarily generous,ልግስና,
3168,muse,"v,n",to ponder; inspiration,ማሰላሰል,
3169,muster,n,"An assemblage or review of troops for parade or inspection, or for numbering off",ሰልፍ,
3170,mutation,n,The act or process of change,ለውጥ,
3171,mutilate,v,To disfigure,ማበላሸት,
3172,mutiny,n,Rebellion against lawful or constituted authority,አመጽ,
3173,myopic,adj,"near sighted, lacking foresight",ሩቅ የማያይ,
3174,myriad,n,A vast indefinite number,ብዙ,
3175,mystic,n,"One who professes direct divine illumination, or relies upon meditation to acquire truth",ምስጢራዊ,
3176,mystification,n,The act of artfully perplexing,ምስጢር,
3177,myth,n,"A fictitious narrative presented as historical, but without any basis of fact",አፈ ታሪክ,
3178,mythology,n,The whole body of legends cherished by a race concerning gods and heroes,አፈ ታሪክ,
3179,nameless,adj,Having no fame or reputation,ስም የሌለው,
3180,naphtha,n,"A light, colorless, volatile, inflammable oil used as a solvent, as in manufacture of paints",ናፍታ,
3181,narcissist,n,"one who is extremely self-centered and in love with oneself""""",ራስ-ወዳድ,
3182,Narcissus,n,"The son of the Athenian river-god Cephisus, fabled to have fallen in love with his reflection",ናርሲሰስ,
3183,narrate,v,To tell a story,መተረክ,
3184,narration,n,The act of recounting the particulars of an event in the order of time or occurrence,ትረካ,
3185,narrative,n,An orderly continuous account of the successive particulars of an event,ትረካ,
3186,narrator,n,One who narrates anything,ተራኪ,
3187,narrow-minded,adj,Characterized by illiberal views or sentiments,ጠባብ አስተሳሰብ,
3188,nasal,adj,Pertaining to the nose,የአፍንጫ,
3189,natal,adj,Pertaining to one's birth,የልደት,
3190,nationality,n,A connection with a particular nation,ዜግነት,
3191,naturally,adv,According to the usual order of things,በተፈጥሮ,
3192,nausea,n,An affection of the stomach producing dizziness and usually an impulse to vomit,ማቅለሽለሽ,
3193,nauseate,v,To cause to loathe,ማስቀየም,
3194,nauseous,adj,Loathsome,አስጸያፊ,
3195,nautical,adj,"Pertaining to ships, seamen, or navigation",የባህር,
3196,naval,adj,Pertaining to ships,የባህር,
3197,navel,n,The depression on the abdomen where the umbilical cord of the fetus was attached,እምብርት,
3198,navigable,adj,Capable of commercial navigation,ለመጓዝ የሚቻል,
3199,navigate,v,To traverse by ship,ማሰስ,
